id,latitude,longitude,name,type,pm25,color,url,label,approx
3760,52.463,4.60184,[Netherlands] IJmuiden-Kanaaldijk (PM2.5=8.8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3761,43.823017,-115.838554,[AirNow] Idaho City (PM2.5=34),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3762,43.4683,-112.0531,[AirNow] Idaho Falls / Penfor (PM2.5=26),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3763,-33.422302,-70.65116,[Chile - SINCA] Independencia (PM2.5=44),OpenAQ (3235),1,004400,https://openaq.org/,[OpenAQ] ,40
3764,25.77106,73.340225,[caaqm] Indira Colony Vistar- Pali - RSPCB (PM2.5=34.34),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3765,39.787933,-86.13088,[AirNow] Indpls - I-70 E (PM2.5=14.2),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3766,39.7889,-86.2147,[AirNow] Indpls-W.18th St (PM2.5=30.4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3767,57.481308,-4.241451,[DEFRA] Inverness (PM2.5=3),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3768,41.658195,-91.50347,[AirNow] Iowa City- Hoover Sc (PM2.5=20),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3769,34.0511,-81.155,[AirNow] Irmo (PM2.5=5.6),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3770,38.508114,-82.6593,[AirNow] Ironton - ODOT (PM2.5=19.7),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3771,26.0733,-97.1667,[AirNow] Isla Blanca C323/C66 (PM2.5=8.4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3772,53.924713,9.532635,[EEA Germany] Itzehoe (PM2.5=18.1),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3773,39.10144,-90.3445,[AirNow] JERSEYVL (PM2.5=5.7),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3774,35.5,-78.4375,[AirNow] JOHNSTON (PM2.5=11),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3775,37.0581,-88.5725,[AirNow] JPRECC (PM2.5=8.4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3776,35.6567,-88.8092,[AirNow] Jackson (PM2.5=10),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3777,43.48256,-110.74526,[AirNow] Jackson Mobile (PM2.5=24),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
